Best_Fitness,Generations_Count,Converged_Count
4.4260449199529007E-7,100,0
3.000596257090918E-7,100,0
6.611366279173266E-7,100,0
3.706476188149232E-7,100,0
2.507304242928169E-7,100,0
3.5613594378354715E-7,100,0
3.9820371820072213E-7,100,0
4.4643067126574267E-7,100,0
3.7914866350113283E-7,100,0
3.500668493655401E-7,100,0
3.6039930730148565E-7,100,0
4.7532477235334514E-7,100,0
4.860433026693512E-7,100,0
2.9579444302456824E-7,100,0
4.0139057468209677E-7,100,0
4.365757653279763E-7,100,0
3.897565719330521E-7,100,0
3.7197358499327974E-7,100,0
3.015321305852711E-7,100,0
6.370230801019939E-7,100,0
6.895479828890735E-7,100,0
3.0345672711312753E-7,100,0
3.7577528769484876E-7,100,0
3.10379342667805E-7,100,0
6.151080767903456E-7,100,0
5.099053963206249E-7,100,0
4.2291626454002843E-7,100,0
4.6585043667822643E-7,100,0
6.361427228242535E-7,100,0
4.4323449249262057E-7,100,0
