Best_Fitness,Generations_Count,Converged_Count
28,100,1
27,100,0
27,100,0
27,100,0
28,100,1
27,100,0
27,100,0
27,100,0
28,100,1
27,100,0
28,100,1
27,100,0
28,100,1
27,100,0
27,100,0
28,100,1
27,100,0
27,100,0
28,100,1
27,100,0
28,100,1
27,100,0
28,100,2
28,100,2
27,100,0
28,100,1
27,100,0
28,100,1
27,100,0
28,100,1
